29,0
29,1
30,0
31,0
23,2
24,2
25,2
26,2
27,2
28,2
29,2
22,3
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
0,18
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
26,31
26,30
26,29
25,31
25,30
25,29
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
1,31
2,31
3,31
4,31
5,31
6,31
7,31
8,31
9,31
10,31
11,31
12,31
13,31
14,31
15,31
16,31
17,31
18,31
19,31
20,31
21,31
22,31
23,31
24,31
25,31
26,31
27,31
28,31
29,31
30,31
31,31
31,30
31,29
31,28
31,27
31,26
31,25
31,24
31,23
31,22
31,21
31,20
31,19
31,18
31,17
31,16
31,15
31,14
31,13
31,12
31,11
31,10
31,9
31,8
31,7
31,6
31,5
31,4
31,3
31,2
31,1
31,0
30,0
29,0
